District,Status,Ability
NYC GEOG DIST # 1 - MANHATTAN,Target,1
NYC GEOG DIST # 2 - MANHATTAN,Target,1
NYC GEOG DIST # 3 - MANHATTAN,Target,1
NYC GEOG DIST # 4 - MANHATTAN,Target,1
NYC GEOG DIST # 5 - MANHATTAN,Target,1
NYC GEOG DIST # 6 - MANHATTAN,Target,1
NYC GEOG DIST # 7 - BRONX,Target,1
NYC GEOG DIST # 8 - BRONX,Target,1
NYC GEOG DIST # 9 - BRONX,Target,1
NYC GEOG DIST #10 - BRONX,Target,1
NYC GEOG DIST #11 - BRONX,Target,1
NYC GEOG DIST #12 - BRONX,Target,1
NYC GEOG DIST #13 - BROOKLYN,Target,1
NYC GEOG DIST #14 - BROOKLYN,Target,1
NYC GEOG DIST #15 - BROOKLYN,Target,1
NYC GEOG DIST #16 - BROOKLYN,Target,1
NYC GEOG DIST #17 - BROOKLYN,Target,1
NYC GEOG DIST #18 - BROOKLYN,Target,1
NYC GEOG DIST #19 - BROOKLYN,Target,1
NYC GEOG DIST #20 - BROOKLYN,Good,1
NYC GEOG DIST #21 - BROOKLYN,Target,1
NYC GEOG DIST #22 - BROOKLYN,Target,1
NYC GEOG DIST #23 - BROOKLYN,Target,1
NYC GEOG DIST #24 - QUEENS,Target,1
NYC GEOG DIST #25 - QUEENS,Target,1
NYC GEOG DIST #26 - QUEENS,Good,1
NYC GEOG DIST #27 - QUEENS,Target,1
NYC GEOG DIST #28 - QUEENS,Target,1
NYC GEOG DIST #29 - QUEENS,Target,1
NYC GEOG DIST #30 - QUEENS,Target,1
NYC GEOG DIST #31 - STATEN ISLAND,Target,1
NYC GEOG DIST #32 - BROOKLYN,Target,1
